Value,Step
0.8868786664479464,0
1.3077070653669238,1
1.3138217673347266,2
1.29355809511549,3
1.318733675669542,4
1.2954555057714068,5
1.3075243236078111,6
1.2962289106617872,7
1.2926874795712873,8
1.3073807320971313,9
1.2901564935580911,10
1.2995302850204173,11
1.3143194533596076,12
1.3056201836666448,13
1.311331009626971,14
1.2870156643401502,15
1.3172192118776902,16
1.3055352875182011,17
1.288808182803736,18
1.3014455947824926,19
1.2933893734028743,20
1.2983821157547186,21
1.3188821055113267,22
1.3099505712686283,23
1.2963674695547713,24
1.2920694458666182,25
1.2978121883763944,26
1.3171495417719044,27
1.3025667436590433,28
1.3040670088610422,29
1.2803467230049261,30
1.2891745470876603,31
1.2831392515407614,32
1.3088657996263187,33
1.3109185069349278,34
1.2934526874107684,35
1.2894714760016062,36
1.2821663527387657,37
1.2960285598524526,38
1.2972354989513133,39
