Value,Step
0.8965216912229588,0
1.480821848784411,1
1.5071354282059988,2
1.2191283338534116,3
1.2833003220921597,4
1.5173984354958767,5
1.202680455281499,6
1.3167409140109196,7
1.5125866703503317,8
1.3005024050720793,9
1.3571872654042199,10
1.1907464195268667,11
1.3345392382685815,12
1.4940164063831765,13
1.459499338713859,14
1.2587657494217812,15
1.5432065193772249,16
1.3499049394841343,17
1.2541343386437624,18
1.5762557314895693,19
1.336238760742351,20
1.2414164281692899,21
1.2686943346084296,22
1.3242858961630861,23
1.1383247948261577,24
1.1522083815417556,25
1.1576600587668109,26
1.4161293094476377,27
1.5560833819151099,28
1.5452716277968404,29
1.5348499924629087,30
1.2717078846446996,31
1.392705421444056,32
1.3255321485981744,33
1.3211897736390121,34
1.2429229590449329,35
1.3496038110051312,36
1.4100210276139236,37
1.3942115363377803,38
1.1242871638581724,39
