Value,Step
0.8243080222494638,0
1.498418675564845,1
1.6789875699066168,2
1.5922151102439135,3
1.1878928669721487,4
1.3712161770657452,5
1.3648455125600247,6
1.518211601491379,7
1.4730620747153498,8
1.4274231440125391,9
1.6208634630443117,10
1.2359584945500013,11
1.450998764115366,12
1.3511213217547295,13
1.3991556377465353,14
1.2854305376509247,15
1.2140995908156,16
1.300630751587249,17
1.2763438089090193,18
1.3814687776148498,19
1.5605291174383096,20
1.1114609733997431,21
1.4333061674337326,22
1.4572683915386022,23
1.3388527397425056,24
1.4358163726599937,25
1.2645768086514009,26
1.1948078721138102,27
1.0230454297636178,28
1.4786592097676923,29
1.4201806951513094,30
1.2866056773911496,31
1.4639837730799141,32
1.3379105649889738,33
1.2335242250949021,34
1.2189564447636931,35
1.0718264766201135,36
1.3417000398491266,37
1.4412225268895977,38
1.5359522578359444,39
