Wall time,Step,Value
1726187495.773718,1000,0.824999988079071
1726193157.9832416,2000,0.7990000247955322
1726198849.5058286,3000,0.824999988079071
1726204463.8296561,4000,0.828000009059906
1726210076.987751,5000,0.824999988079071
1726215681.0789323,6000,0.824999988079071
1726221277.1717377,7000,0.8370000123977661
1726226881.4905918,8000,0.7730000019073486
1726232489.5883489,9000,0.8149999976158142
1726238188.1121426,10000,0.8009999990463257
1726243822.9599574,11000,0.8180000185966492
1726249460.2442586,12000,0.7929999828338623
1726255081.2789123,13000,0.75
1726260793.6646473,14000,0.8040000200271606
1726266522.5518386,15000,0.6570000052452087
1726272334.4676526,16000,0.7639999985694885
1726277966.9928906,17000,0.7329999804496765
1726283608.0558233,18000,0.7289999723434448
1726323453.9810007,19000,0.7739999890327454
1726329189.2710395,20000,0.6330000162124634
