Wall time,Step,Value
1726545987.8096185,42,0.4098168611526489
1726546012.5314748,94,0.16255702078342438
1726546047.5431058,167,0.13477763533592224
1726546077.001319,229,0.06582849472761154
1726546079.3494954,234,0.09862765669822693
1726546097.9098892,273,0.08170381933450699
1726546115.5892186,310,-0.006690509617328644
1726546119.4515078,318,0.06251534074544907
1726546197.47337,474,0.07096057385206223
1726546226.845577,536,-0.020191151648759842
1726546247.3981202,579,0.12083208560943604
1726546250.764376,586,-0.0669468492269516
1726546273.6890955,634,-0.010201916098594666
1726546279.980569,647,0.04253726080060005
1726546312.2589934,714,0.0069597139954566956
1726546357.2783768,808,-0.06745713949203491
1726546592.608028,1014,-0.09110352396965027
1726546617.3818908,1066,-0.07857493311166763
1726546744.9904766,1333,-0.10347368568181992
1726546746.8716187,1337,-0.09208446741104126
1726546769.4043124,1385,-0.05819076672196388
1726546772.7255623,1392,0.029417231678962708
1726546793.4661198,1436,-0.06167119741439819
1726546914.9622474,1691,-0.09561560302972794
1726546935.4327881,1734,-0.12198006361722946
1726546936.8468914,1737,-0.14755702018737793
1726547003.4868987,1877,-0.021536991000175476
1726547022.7503455,1917,-0.0658731609582901
1726547215.447363,2036,-0.12223082035779953
1726547243.8804977,2096,-0.08647984266281128
1726547292.953184,2199,-0.1432807594537735
1726547322.8584306,2262,-0.12640930712223053
1726547344.1720328,2307,-0.08909344673156738
1726547383.035953,2389,0.29912447929382324
1726547405.4416351,2436,-0.11482946574687958
1726547428.8003905,2485,-0.08229485154151917
1726547429.248424,2486,-0.07700485736131668
1726547434.8798463,2498,-0.09985049813985825
1726547451.0010636,2532,-0.14137336611747742
1726547524.0305471,2685,-0.1671788990497589
1726547550.353526,2740,-0.05628262087702751
1726547826.6668396,3038,-0.008787032216787338
1726547918.090713,3230,-0.1192418783903122
1726547925.799289,3246,-0.17947767674922943
1726547953.806392,3305,-0.1074686348438263
1726548104.146687,3618,-0.13702820241451263
1726548105.086758,3620,-0.19867631793022156
1726548129.0925617,3670,-0.1334417760372162
1726548163.4721448,3741,-0.14383932948112488
1726548198.4677732,3814,-0.10800535976886749
1726548201.8400264,3821,-0.10797419399023056
1726548253.2288914,3928,-0.12410853058099747
1726548266.6908996,3956,-0.15651021897792816
1726548439.9384303,4036,-0.08466727286577225
1726548515.4631045,4196,-0.06762448698282242
1726548572.6574004,4317,-0.1103447750210762
1726548611.9913561,4400,-0.09246279299259186
1726548655.6196344,4492,-0.12356209754943848
1726548663.7152421,4509,-0.10457593947649002
1726548743.547579,4676,-0.14516760408878326
1726548797.0946012,4788,-0.07533195614814758
1726549020.072656,4971,-0.11697196960449219
1726549084.0284586,5106,-0.18919353187084198
1726549097.250452,5134,-0.20315633714199066
1726549197.7317994,5345,-0.15642637014389038
1726549204.3702977,5359,-0.17889460921287537
1726549295.0201087,5549,-0.210130512714386
1726549357.0067654,5679,-0.02995748072862625
1726549378.057346,5723,-0.19044314324855804
1726549419.081428,5808,-0.14012402296066284
1726549446.0124514,5864,-0.19772765040397644
1726549449.345702,5871,-0.06461267918348312
1726549466.662003,5907,-0.18296217918395996
1726549642.748501,5990,-0.17522108554840088
1726549742.3219852,6200,-0.20003771781921387
1726549751.428667,6219,-0.1589152216911316
