Wall time,Step,Value
1726545987.8096185,42,-0.05843304470181465
1726546012.5324764,94,-0.07209143787622452
1726546047.5431058,167,-0.11235981434583664
1726546077.001319,229,-0.1319975107908249
1726546079.3494954,234,-0.11983298510313034
1726546097.9108906,273,-0.13255371153354645
1726546115.5892186,310,-0.15021048486232758
1726546119.4515078,318,-0.1397508829832077
1726546197.47337,474,-0.15341536700725555
1726546226.845577,536,-0.1612914353609085
1726546247.3981202,579,-0.15482009947299957
1726546250.764376,586,-0.18782822787761688
1726546273.6890955,634,-0.1629398614168167
1726546279.980569,647,-0.18539099395275116
1726546312.2589934,714,-0.17829546332359314
1726546357.2783768,808,-0.19567951560020447
1726546592.608028,1014,-0.20583795011043549
1726546617.3818908,1066,-0.197574183344841
1726546744.9904766,1333,-0.21154704689979553
1726546746.8716187,1337,-0.22560198605060577
1726546769.4043124,1385,-0.22303901612758636
1726546772.7255623,1392,-0.22376368939876556
1726546793.4661198,1436,-0.22880494594573975
1726546914.9622474,1691,-0.2214692085981369
1726546935.4327881,1734,-0.23725593090057373
1726546936.8468914,1737,-0.23667298257350922
1726547003.4879005,1877,-0.23678795993328094
1726547022.7503455,1917,-0.2272425889968872
1726547215.447363,2036,-0.2652146816253662
1726547243.8804977,2096,-0.22197313606739044
1726547292.953184,2199,-0.24212586879730225
1726547322.8584306,2262,-0.23534953594207764
1726547344.1730337,2307,-0.2286767214536667
1726547383.035953,2389,-0.23379524052143097
1726547405.4416351,2436,-0.24320009350776672
1726547428.8013904,2485,-0.2587650418281555
1726547429.249424,2486,-0.24723558127880096
1726547434.8798463,2498,-0.24706843495368958
1726547451.002067,2532,-0.257039338350296
1726547524.0305471,2685,-0.26977887749671936
1726547550.3545306,2740,-0.2554267942905426
1726547826.6668396,3038,-0.2733815014362335
1726547918.091715,3230,-0.22423899173736572
1726547925.799289,3246,-0.2655424475669861
1726547953.8073924,3305,-0.23832054436206818
1726548104.146687,3618,-0.2735542058944702
1726548105.086758,3620,-0.27401888370513916
1726548129.0925617,3670,-0.259121835231781
1726548163.4721448,3741,-0.2700282037258148
1726548198.4677732,3814,-0.2634703814983368
1726548201.8400264,3821,-0.26151612401008606
1726548253.2288914,3928,-0.26541563868522644
1726548266.6918995,3956,-0.2626792788505554
1726548439.9384303,4036,-0.2620212137699127
1726548515.4631045,4196,-0.26665839552879333
1726548572.6574004,4317,-0.2506837546825409
1726548611.9913561,4400,-0.24496881663799286
1726548655.6196344,4492,-0.24320435523986816
1726548663.7152421,4509,-0.2398967295885086
1726548743.547579,4676,-0.2676362097263336
1726548797.0946012,4788,-0.2346312254667282
1726549020.072656,4971,-0.27064046263694763
1726549084.0284586,5106,-0.2886432409286499
1726549097.250452,5134,-0.2819417417049408
1726549197.7317994,5345,-0.2557254135608673
1726549204.3702977,5359,-0.27748724818229675
1726549295.0201087,5549,-0.2859901785850525
1726549357.0067654,5679,-0.22105269134044647
1726549378.057346,5723,-0.2824060618877411
1726549419.081428,5808,-0.2352379560470581
1726549446.0124514,5864,-0.29271233081817627
1726549449.345702,5871,-0.24399636685848236
1726549466.662003,5907,-0.30141493678092957
1726549642.748501,5990,-0.29010146856307983
1726549742.3219852,6200,-0.28185132145881653
1726549751.428667,6219,-0.26909157633781433
