Wall time,Step,Value
1726546539.3169532,0,nan
1726547147.541235,1,nan
1726547753.2326412,2,nan
1726548363.52682,3,nan
1726548970.8657243,4,nan
1726549579.493434,5,nan
1726550183.7666945,6,nan
1726550783.9560554,7,nan
1726551385.8976302,8,nan
1726551985.064428,9,nan
1726552585.3946922,10,nan
1726553187.889313,11,nan
1726553788.7928824,12,nan
1726554391.6179607,13,nan
1726554993.3151715,14,nan
1726555594.8872492,15,nan
1726556196.1452026,16,nan
1726556803.39528,17,nan
1726557404.2458944,18,nan
1726558004.2345293,19,nan
1726558605.5356865,20,nan
1726559204.6474705,21,nan
1726559804.7828608,22,nan
1726560407.8999155,23,nan
1726561008.3899474,24,nan
1726561607.2070594,25,nan
1726562206.2186916,26,nan
1726562805.2202516,27,nan
1726563403.7406309,28,nan
1726564004.3073316,29,nan
1726564603.7520554,30,nan
1726565202.9595597,31,nan
1726565803.336462,32,nan
1726566402.803969,33,nan
1726567001.8838139,34,nan
1726567602.9495718,35,nan
1726568203.2851734,36,nan
1726568803.372098,37,nan
1726569403.382884,38,nan
1726570003.4040415,39,nan
1726570603.3070054,40,nan
1726571204.3527,41,nan
1726571804.5933695,42,nan
1726572406.538054,43,nan
1726573007.7315829,44,nan
1726573610.8224401,45,nan
1726574214.8297024,46,nan
1726574815.2529569,47,nan
1726575417.01698,48,nan
1726576016.9735913,49,nan
1726576623.521268,50,nan
1726577226.8034108,51,nan
1726577833.9655333,52,nan
1726578441.839712,53,nan
1726579053.0115867,54,nan
1726579658.61734,55,nan
1726580266.522102,56,nan
1726580871.34043,57,nan
1726581476.8350544,58,nan
1726582084.3415408,59,nan
1726582691.9316156,60,nan
1726583292.7182486,61,nan
1726583893.7612238,62,nan
1726584500.9092214,63,nan
1726585117.7165353,64,nan
1726585725.4747112,65,nan
1726586332.2411187,66,nan
1726586939.583567,67,nan
1726587545.1049087,68,nan
1726588147.6844227,69,nan
1726588747.5353956,70,nan
1726589348.9859111,71,nan
1726589950.6392207,72,nan
1726590554.1074939,73,nan
1726591157.2495947,74,nan
1726591760.9914656,75,nan
1726592363.5123389,76,nan
1726592967.691708,77,nan
1726593571.0316184,78,nan
1726594173.8760953,79,nan
1726594777.2282393,80,nan
1726595383.1617079,81,nan
1726595987.5965154,82,nan
1726596591.8103795,83,nan
1726597195.7341216,84,nan
1726597806.4768739,85,nan
1726598413.9651635,86,nan
1726599019.886326,87,nan
1726599628.2648776,88,nan
1726600235.9369388,89,nan
1726600840.9566405,90,nan
1726601452.091591,91,nan
1726602062.178876,92,nan
1726602669.6081362,93,nan
1726603276.2683496,94,nan
1726603886.8571653,95,nan
1726604495.7957625,96,nan
1726605099.079514,97,nan
1726605704.3546414,98,nan
1726606307.1678088,99,nan
1726606869.8543403,100,nan
