Wall time,Step,Value
1728091090.4730682,42,-0.08361798524856567
1728091152.6255367,167,-0.08358626812696457
1728091184.017477,229,-0.0772315263748169
1728091308.5744193,474,-0.08380243182182312
1728091340.6057298,536,-0.09099296480417252
1728091362.0220015,579,-0.07460039854049683
1728091365.5547175,586,-0.07904436439275742
1728091389.8312137,634,-0.07893986254930496
1728091396.4125075,647,-0.07829263061285019
1728091430.1614845,714,-0.08581547439098358
1728091477.7319896,808,-0.08521799743175507
1728091582.6103127,1014,-0.08148200064897537
1728091745.0780172,1333,-0.07710008323192596
1728091771.3402717,1385,-0.07021481543779373
1728091774.856965,1392,-0.08007185906171799
1728091797.1015892,1436,-0.07247322052717209
1728092563.559024,1734,-0.06949525326490402
1728092565.043847,1737,-0.07544342428445816
1728092635.2048721,1877,-0.07307857275009155
1728092715.490955,2036,-0.07204966992139816
1728092853.0101998,2307,-0.06978131085634232
1728092894.8272057,2389,-0.0743771344423294
1728092943.287987,2485,-0.06871317327022552
1728092943.8037684,2486,-0.07376956194639206
1728093044.0319073,2685,-0.06536569446325302
1728093222.1727717,3038,-0.06806022673845291
1728093318.7141623,3230,-0.06643751263618469
1728093326.6861298,3246,-0.06885920464992523
1728093356.2470603,3305,-0.06700040400028229
1728094129.5322053,3618,-0.0660511776804924
1728094130.5481372,3620,-0.058097463101148605
1728094155.8725965,3670,-0.06079378351569176
1728094232.1419988,3821,-0.061750661581754684
1728094300.1724286,3956,-0.05881761386990547
1728094482.6808798,4317,-0.05764145776629448
1728094524.8244963,4400,-0.05729430541396141
1728094571.2636049,4492,-0.05612587928771973
1728094579.7677534,4509,-0.060356028378009796
1728094817.2008855,4971,-0.05757307633757591
1728095514.5300007,5134,-0.058071237057447433
1728095619.4509192,5345,-0.045515768229961395
1728095807.3907268,5723,-0.058909714221954346
1728095899.9152777,5907,-0.04998280107975006
1728095941.1528053,5990,-0.050824400037527084
1728096046.0275767,6200,-0.05195746570825577
1728096295.322382,6699,-0.04381345584988594
1728096301.4183733,6711,-0.051556456834077835
1728096975.9437933,6854,-0.05302346497774124
1728097031.5641282,6966,-0.04310540854930878
1728097126.015397,7155,-0.05478241667151451
1728097278.679561,7460,-0.04653089866042137
1728097280.2292595,7463,-0.04440286383032799
1728097448.2751968,7798,-0.04437180981040001
1728097465.8621593,7833,-0.04187583550810814
1728097582.446335,8066,-0.042224716395139694
1728097639.7504845,8180,-0.042294230312108994
1728097660.462248,8221,-0.04329494759440422
1728098404.8041716,8498,-0.04032668098807335
1728098409.885005,8508,-0.04127703607082367
1728098595.2983158,8878,-0.04249165207147598
1728098624.0624802,8935,-0.037622131407260895
1728098786.1011524,9260,-0.046131543815135956
1728098890.664897,9468,-0.036052506417036057
1728098933.559244,9554,-0.04020225629210472
1728099006.2981448,9698,-0.04067373275756836
1728099965.3091223,10399,-0.038258858025074005
1728100005.3904123,10479,-0.03589900955557823
1728100026.945787,10522,-0.031045088544487953
1728100069.4020228,10607,-0.03203027695417404
1728100155.7864645,10780,-0.03595106303691864
1728100218.3030975,10905,-0.032726820558309555
1728100248.8166363,10966,-0.035424139350652695
1728100276.156598,11020,-0.03395075723528862
1728100534.7140493,11532,-0.035474929958581924
1728100551.8469858,11566,-0.03214184567332268
1728100611.2614884,11685,-0.03419644758105278
1728100648.104711,11759,-0.035165611654520035
1728101365.4351895,11969,-0.029280398041009903
1728101367.8890615,11974,-0.03382977470755577
1728101463.885279,12164,-0.03877786919474602
1728101527.4471455,12290,-0.032549962401390076
1728101822.5654182,12877,-0.03172753378748894
1728101902.3301156,13034,-0.028574606403708458
1728101916.1491637,13061,-0.03302944079041481
1728102796.8676767,13597,-0.03337152302265167
1728102808.4043748,13620,-0.02824210934340954
1728102904.5917652,13810,-0.032452065497636795
1728103111.4197655,14221,-0.024058520793914795
1728103147.9358008,14294,-0.02991608716547489
1728103170.149173,14338,-0.025490954518318176
1728103337.0400655,14668,-0.026541978120803833
1728103392.845646,14779,-0.030600855126976967
1728103440.33585,14873,-0.025496670976281166
1728104350.055872,15473,-0.03043794073164463
1728104497.4403749,15764,-0.020825743675231934
1728104675.5605278,16116,-0.02772201970219612
1728104778.5339644,16321,-0.027564240619540215
1728105050.8893075,16857,-0.02629992365837097
1728105773.8940592,17066,-0.02490883320569992
1728105789.6047018,17097,-0.026258379220962524
1728105900.177223,17317,-0.032379504293203354
1728105911.214557,17339,-0.02799321711063385
1728106014.8018067,17543,-0.029484545812010765
1728106021.851607,17557,-0.0218063872307539
1728106474.4959655,18451,-0.023397205397486687
1728107426.2788875,19116,-0.024295328184962273
1728107453.1690736,19169,-0.02524074725806713
1728107636.3476288,19531,-0.028338586911559105
1728107691.342269,19640,-0.023196345195174217
1728107737.2851467,19731,-0.020034339278936386
1728107870.9444468,19995,-0.026380477473139763
1728107900.3185055,20053,-0.025154396891593933
1728107904.8675394,20062,-0.023465381935238838
1728107997.0199988,20244,-0.028590664267539978
1728108001.0063603,20252,-0.029617074877023697
1728108037.101969,20323,-0.02460571564733982
1728108708.2119424,20440,-0.024069085717201233
1728108758.0149367,20539,-0.02651372365653515
1728108777.476293,20578,-0.02505592443048954
1728108878.6335528,20779,-0.025579646229743958
1728108880.1347802,20782,-0.027871087193489075
1728108916.868333,20855,-0.03110888972878456
1728109030.536452,21080,-0.026076415553689003
1728109062.8630598,21144,-0.024829765781760216
1728109108.2010586,21232,-0.02563643455505371
1728109152.0663218,21319,-0.029298696666955948
1728109255.0666757,21523,-0.022406574338674545
1728109420.4608738,21848,-0.027459854260087013
1728110227.7877183,22245,-0.022168757393956184
1728110271.010208,22330,-0.022476043552160263
1728110285.2043667,22358,-0.021972039714455605
1728110678.4078903,23138,-0.024221772328019142
1728110683.5188155,23148,-0.024764198809862137
1728110705.592675,23192,-0.020139014348387718
1728110753.083634,23286,-0.023517008870840073
1728110791.009098,23361,-0.029976053163409233
1728110824.5591338,23427,-0.025166694074869156
1728110881.9281323,23540,-0.022677062079310417
1728110947.5050707,23670,-0.02638031542301178
1728110953.0856683,23681,-0.02520468272268772
1728110963.168413,23701,-0.02819550596177578
1728111798.9261796,24147,-0.02459237538278103
1728111866.6307151,24282,-0.02785681001842022
1728111867.6470327,24284,-0.023231027647852898
1728111886.688353,24322,-0.02473323792219162
1728112036.744419,24621,-0.0221352931112051
1728112090.054289,24727,-0.029355226084589958
1728112193.6189876,24934,-0.02479187212884426
1728112354.1641934,25253,-0.021261561661958694
1728112423.4395306,25391,-0.01857159286737442
1728113244.8212776,25812,-0.02777395211160183
1728113262.4711406,25847,-0.025408659130334854
1728113299.9907255,25921,-0.027764493599534035
1728113492.7832942,26303,-0.026637105271220207
1728113742.577156,26797,-0.024714395403862
1728113743.108961,26798,-0.024010125547647476
1728113923.4793434,27154,-0.026498256251215935
1728114710.5123749,27505,-0.02248389832675457
1728114759.579623,27603,-0.023922016844153404
1728114777.026315,27638,-0.02146771550178528
1728114870.7445536,27825,-0.021678423509001732
1728114916.4068234,27916,-0.023379262536764145
1728115179.5698972,28438,-0.027672840282320976
1728115232.5328486,28543,-0.027080342173576355
1728116056.1962388,28970,-0.024275491014122963
1728116069.0919487,28996,-0.026190822944045067
1728116102.2758546,29062,-0.024803191423416138
1728116171.5253947,29201,-0.02408866211771965
1728116202.537539,29263,-0.02856147661805153
1728116306.6105134,29471,-0.025734547525644302
1728116315.1394916,29487,-0.0212628822773695
1728116377.346131,29611,-0.02478528954088688
1728116486.3096738,29829,-0.027591248974204063
1728116574.4072232,30005,-0.024534279480576515
1728116587.4756427,30031,-0.025791484862565994
1728116658.8492877,30174,-0.024819720536470413
1728116735.361846,30327,-0.02453494258224964
1728116807.061721,30470,-0.024116283282637596
1728117482.0161664,30612,-0.026908570900559425
1728117529.2398827,30706,-0.027040237560868263
1728117536.2428021,30720,-0.027187904343008995
1728117878.1564622,31406,-0.03112415038049221
1728117896.5847213,31443,-0.031923647969961166
1728118114.5292246,31880,-0.024508336558938026
1728118142.446286,31936,-0.026701545342803
1728118176.3659635,32004,-0.025460561737418175
1728118278.378188,32207,-0.024774018675088882
1728119000.5268967,32435,-0.02789410948753357
1728119053.939597,32542,-0.02589239738881588
1728119111.618053,32657,-0.022142857313156128
1728119163.918693,32762,-0.027392148971557617
1728119229.899276,32894,-0.02820972539484501
1728119233.9321387,32902,-0.02425050549209118
1728119299.924733,33034,-0.023298077285289764
1728119374.0812263,33181,-0.029562925919890404
1728119471.748746,33375,-0.029743412509560585
1728119485.8170784,33403,-0.029247282072901726
1728119653.1194005,33737,-0.028520986437797546
1728119659.152873,33749,-0.030392957851290703
1728119668.6885765,33768,-0.024029433727264404
1728119677.1442683,33785,-0.02557642199099064
1728119704.1571336,33839,-0.029718173667788506
1728119722.5881438,33876,-0.025231530889868736
1728119741.3149242,33913,-0.029764089733362198
1728120412.7667801,34036,-0.02325025573372841
1728120575.7727242,34362,-0.02839336358010769
1728120657.2783551,34525,-0.026297731325030327
1728120694.1981528,34599,-0.02889539860188961
1728121061.0048058,35333,-0.030124366283416748
1728121071.5087793,35354,-0.03243636712431908
1728121083.124443,35377,-0.027246488258242607
1728121136.6465654,35483,-0.02682586945593357
1728121886.380303,35771,-0.025842437520623207
1728121925.3354852,35849,-0.026628727093338966
1728121977.6376324,35953,-0.03134631738066673
1728122019.6081579,36037,-0.021490268409252167
1728122125.0538714,36246,-0.026061255484819412
1728122317.0233953,36629,-0.022829873487353325
1728122332.294057,36659,-0.02714398317039013
1728122386.608616,36767,-0.028646280989050865
1728122428.26566,36850,-0.0269936453551054
1728122604.3381321,37202,-0.022569255903363228
1728123352.7148001,37489,-0.026804009452462196
1728123489.9251869,37764,-0.025607788935303688
1728123546.600901,37876,-0.0280953049659729
1728123828.9921577,38439,-0.0294939111918211
1728123837.041475,38455,-0.029150066897273064
1728123969.5454059,38720,-0.02763162925839424
1728124029.7746224,38840,-0.02612972818315029
1728124100.53742,38981,-0.029066700488328934
1728124861.7215812,39296,-0.02838773839175701
1728125064.5253847,39702,-0.026054708287119865
1728125152.7021194,39878,-0.02176736667752266
1728125168.22403,39909,-0.026847252622246742
1728125223.8717752,40020,-0.03304450958967209
1728125362.3548694,40296,-0.03051626682281494
1728125464.4730427,40500,-0.028929410502314568
1728125546.5240233,40663,-0.03482966125011444
1728125548.4933722,40667,-0.028732968494296074
1728125575.179318,40720,-0.030180418863892555
1728126219.0015545,40793,-0.030650457367300987
1728126342.3472042,41040,-0.03143472597002983
1728126443.8897514,41244,-0.029085958376526833
1728126457.3954098,41271,-0.02623113803565502
1728126492.3958437,41341,-0.030475055798888206
1728126591.1441293,41539,-0.03228157013654709
1728126888.562204,42134,-0.026435380801558495
1728127654.8625932,42450,-0.02404848299920559
1728127663.8508658,42468,-0.03163773939013481
1728127768.5048714,42678,-0.02783840335905552
1728128189.2049549,43518,-0.028446516022086143
1728128233.647992,43607,-0.02493724785745144
1728128249.6555614,43639,-0.02588503062725067
1728128285.8110623,43711,-0.032157059758901596
1728128299.26906,43738,-0.033334918320178986
1728128301.238407,43742,-0.02528834156692028
1728128332.9058294,43805,-0.025049645453691483
1728128426.680042,43993,-0.031985633075237274
1728128466.7414248,44073,-0.02295106276869774
1728129135.426871,44200,-0.030304064974188805
1728129138.8661954,44207,-0.029724031686782837
1728129160.6712527,44251,-0.02722816728055477
1728129187.4326086,44304,-0.02954918146133423
1728129443.5013766,44816,-0.02921290509402752
1728129517.768055,44964,-0.027069345116615295
1728129690.8294818,45310,-0.03341640904545784
1728129721.9537663,45372,-0.025481952354311943
1728129789.575294,45507,-0.031185194849967957
1728129865.2009373,45658,-0.024333862587809563
1728130802.4692905,46318,-0.025714188814163208
1728130810.4881177,46334,-0.03173218294978142
1728130850.126717,46413,-0.030624737963080406
1728131295.3748682,47301,-0.023936886340379715
1728132043.943329,47585,-0.031986054033041
1728132070.390427,47638,-0.02757197618484497
1728132085.8654363,47669,-0.034607015550136566
1728132103.9513853,47705,-0.036973606795072556
1728132123.2716987,47744,-0.022483468055725098
1728132192.095742,47882,-0.02856864407658577
1728132224.6724267,47947,-0.02758757583796978
1728132236.0532296,47970,-0.031071772798895836
1728132289.1865678,48076,-0.023051051422953606
1728132341.7388568,48181,-0.0276710893958807
1728132364.7946908,48227,-0.020953644067049026
1728132512.668895,48522,-0.03470946103334427
1728133494.1096506,49272,-0.03044544719159603
1728133533.3754792,49351,-0.03448484465479851
1728133596.4809544,49477,-0.03232085704803467
1728133860.931943,50006,-0.03257838636636734
1728133885.785989,50056,-0.027655435726046562
1728133940.3122492,50165,-0.032676812261343
1728133955.2081795,50195,-0.031611308455467224
1728133991.7075424,50268,-0.02810153178870678
1728134172.419823,50629,-0.028149491176009178
1728134267.5662754,50819,-0.03302932158112526
1728134957.1418364,50979,-0.03195470944046974
1728135034.6453087,51134,-0.030275410041213036
1728135081.570891,51227,-0.030421128496527672
1728135373.427455,51798,-0.031663812696933746
1728135463.9227574,51954,-0.029967540875077248
1728135492.6132207,52001,-0.03126662224531174
1728135647.808513,52292,-0.03400304540991783
1728135678.8741224,52353,-0.03699594363570213
1728135759.029341,52510,-0.0361006036400795
1728136464.9661543,52682,-0.027890091761946678
1728136578.6987433,52906,-0.031501222401857376
1728136595.314344,52939,-0.03237748518586159
1728136673.1895761,53092,-0.03708980232477188
1728136680.7707813,53107,-0.03115246631205082
1728136864.4413712,53468,-0.027728451415896416
1728136984.2883918,53706,-0.029692817479372025
1728136987.8207154,53713,-0.030360419303178787
1728136989.8682122,53717,-0.03782127425074577
1728136991.8531904,53721,-0.03766856715083122
1728137063.6659598,53862,-0.03461020067334175
1728137086.002826,53906,-0.02652500383555889
1728137196.6889005,54123,-0.02503998950123787
1728137256.9466252,54241,-0.03028581105172634
1728138104.0089126,54691,-0.031543001532554626
1728138165.0180714,54807,-0.028285255655646324
1728138231.3085124,54937,-0.026866039261221886
1728138254.3186321,54982,-0.028360441327095032
1728138361.9704654,55193,-0.030653303489089012
1728138415.91212,55299,-0.029631245881319046
1728138540.2334068,55543,-0.03399161621928215
1728138544.3135452,55551,-0.02807619981467724
1728138626.6463053,55713,-0.030998745933175087
1728138653.7029665,55766,-0.027045099064707756
1728139567.9053202,56337,-0.03211034834384918
1728139653.2390358,56507,-0.03074108064174652
1728139660.2892272,56521,-0.0333365797996521
1728139704.0887353,56608,-0.032724522054195404
1728139794.375149,56787,-0.03195415064692497
1728139810.9282258,56820,-0.031316570937633514
1728139901.2016566,56999,-0.02785441093146801
1728140052.58721,57299,-0.030254123732447624
1728140055.7135458,57305,-0.03149270638823509
1728140146.006906,57484,-0.022746844217181206
1728140900.0403354,57760,-0.03054625727236271
1728141169.4565916,58295,-0.03470459580421448
1728141242.6303504,58440,-0.02924386039376259
1728141301.2340963,58556,-0.02545452117919922
1728141344.98876,58641,-0.03434104844927788
1728141384.3499718,58719,-0.03224514424800873
1728141398.1381106,58746,-0.02928314171731472
1728141406.5171978,58763,-0.036086853593587875
1728141658.0602596,59264,-0.032852690666913986
1728141681.9131937,59311,-0.031074339523911476
1728142354.8515396,59432,-0.03368048369884491
1728142459.5227118,59640,-0.025569230318069458
1728142474.7160006,59670,-0.02873590961098671
1728142731.4860651,60179,-0.03200756758451462
1728142734.5030086,60185,-0.036517176777124405
1728142745.6645844,60207,-0.03248123452067375
1728142790.9482536,60297,-0.0275469608604908
1728142880.2045996,60475,-0.036121666431427
1728143856.4149737,61205,-0.024142872542142868
1728143892.149655,61276,-0.03374645486474037
1728143973.5290143,61438,-0.028798837214708328
1728144095.4988494,61680,-0.040695127099752426
1728144326.2821474,62139,-0.03373370319604874
1728144366.6603742,62219,-0.03703691437840462
1728144516.7566395,62516,-0.03168933466076851
1728144532.4516141,62547,-0.03536408767104149
1728145306.8254812,62874,-0.030356114730238914
1728145382.0016856,63024,-0.03581046313047409
1728145480.716663,63220,-0.032677389681339264
1728145586.217439,63429,-0.034719716757535934
1728145628.4087546,63513,-0.0322035551071167
1728145707.8180277,63671,-0.03604152426123619
1728145805.3882556,63865,-0.03170514851808548
1728145922.8313193,64098,-0.037861455231904984
1728145986.2489798,64225,-0.02535177767276764
1728146136.4763925,64521,-0.03685612604022026
1728146830.0933464,64687,-0.03114113211631775
1728146931.3852954,64889,-0.029199568554759026
1728147111.0854006,65245,-0.03189888969063759
1728147134.9227295,65292,-0.03084314800798893
1728147291.224135,65601,-0.03372182324528694
1728147312.3735075,65643,-0.04090041294693947
1728147345.4948895,65709,-0.028757302090525627
1728147516.749133,66049,-0.03317640349268913
1728148250.6020882,66298,-0.027693448588252068
1728148497.0466013,66787,-0.0342261865735054
1728148578.216936,66948,-0.03134336695075035
1728148592.1293502,66976,-0.03261847048997879
1728148614.701838,67021,-0.02928287722170353
1728148826.1422915,67440,-0.02945825830101967
1728149850.9498222,68263,-0.03370192274451256
1728149860.048672,68281,-0.030298501253128052
1728149909.1181417,68378,-0.0269093606621027
1728149934.6926732,68429,-0.03242958337068558
1728150015.9927194,68590,-0.03898769989609718
1728150216.6099243,68988,-0.036447856575250626
1728150309.0407083,69171,-0.030348539352416992
1728150316.3722441,69185,-0.035662077367305756
1728150453.4290535,69455,-0.03430160880088806
1728150463.840422,69476,-0.03129613399505615
1728151196.4033933,69719,-0.02935802936553955
1728151236.0279238,69798,-0.03151357173919678
1728151294.7879677,69915,-0.03686023876070976
1728151569.9981003,70462,-0.035022858530282974
1728151629.489988,70580,-0.03358426317572594
1728151667.8650467,70656,-0.03860343247652054
1728151798.0923705,70915,-0.030228732153773308
