Wall time,Step,Value
1728092502.034425,0,nan
1728093975.032172,1,nan
1728095450.5832672,2,nan
1728096901.5868416,3,nan
1728098357.6609628,4,nan
1728099816.9691927,5,nan
1728101277.1409237,6,nan
1728102746.8180583,7,nan
1728104210.9472,8,nan
1728105681.9622474,9,nan
1728107158.724216,10,nan
1728108631.8740406,11,nan
1728110098.3878949,12,nan
1728111567.303558,13,nan
1728113026.4257407,14,nan
1728114494.8356805,15,nan
1728115959.0975733,16,nan
1728117412.8654718,17,nan
1728118869.7293324,18,nan
1728120329.4258296,19,nan
1728121785.0788505,20,nan
1728123241.5943136,21,nan
1728124695.8610532,22,nan
1728126153.540659,23,nan
1728127609.6113486,24,nan
1728129063.8227038,25,nan
1728130520.0638547,26,nan
1728131978.1225638,27,nan
1728133434.1516006,28,nan
1728134892.4307625,29,nan
1728136399.3013067,30,nan
1728137880.0597188,31,nan
1728139370.2489085,32,nan
1728140840.4409888,33,nan
1728142310.5865102,34,nan
1728143773.3022473,35,nan
1728145239.0029464,36,nan
1728146704.5419285,37,nan
1728148169.585188,38,nan
1728149634.2903411,39,nan
1728151101.8684494,40,nan
1728152567.013379,41,nan
1728154035.898912,42,nan
1728155500.866525,43,nan
1728156964.8616405,44,nan
1728158528.6537642,45,nan
1728160113.9116426,46,nan
1728161700.437479,47,nan
1728163227.5884223,48,nan
1728164717.1113539,49,nan
1728166216.976213,50,nan
1728194417.4606266,51,nan
1728195899.172058,52,nan
1728197373.576413,53,nan
1728198835.8965423,54,nan
1728200302.642485,55,nan
1728201766.2469058,56,nan
1728203230.3355358,57,nan
1728204600.761326,58,nan
1728240010.9920797,59,nan
1728241514.2275991,60,nan
1728243007.2383482,61,nan
1728244497.5440748,62,nan
1728245968.7755342,63,nan
1728247436.7981515,64,nan
1728248904.6848762,65,nan
1728250374.3647487,66,nan
1728251844.9386017,67,nan
1728253319.1184046,68,nan
1728254796.1152182,69,nan
1728256288.3649895,70,nan
1728257774.4321182,71,nan
1728259254.920203,72,nan
1728260733.1825945,73,nan
1728262213.6833937,74,nan
1728273183.7431908,75,nan
1728274685.1548116,76,nan
1728276169.5979123,77,nan
1728277640.0055156,78,nan
1728279108.0894644,79,nan
1728280578.0374024,80,nan
1728282045.8001719,81,nan
1728283515.7335134,82,nan
1728284985.9121866,83,nan
1728286463.546973,84,nan
1728287931.4162302,85,nan
1728289404.3848193,86,nan
1728290871.181379,87,nan
1728292341.4840484,88,nan
1728293814.833371,89,nan
1728295283.2043748,90,nan
1728296822.6083164,91,nan
1728298387.712982,92,nan
1728299952.6374726,93,nan
1728301481.6746569,94,nan
1728303007.7369938,95,nan
1728304583.2289238,96,nan
1728306163.7242937,97,nan
1728307732.5175786,98,nan
1728309352.3195448,99,nan
1728310089.6287086,100,nan
