Wall time,Step,Value
1726627121.4460242,42,-0.028033649548888206
1726627159.560888,94,-0.06195620447397232
1726627212.9468987,167,-0.079837366938591
1726627258.029286,229,-0.09863069653511047
1726627261.6545575,234,-0.09004426747560501
1726627290.2247045,273,-0.11207933723926544
1726627317.6007617,310,-0.12101560086011887
1726627323.4442005,318,-0.11857324838638306
1726627438.323833,474,-0.1338651031255722
1726627483.4652233,536,-0.15461906790733337
1726627514.8275795,579,-0.1360345035791397
1726627519.9419634,586,-0.136682391166687
1726627555.163609,634,-0.1493491530418396
1726627564.7973332,647,-0.14048339426517487
1726627613.8580196,714,-0.17339913547039032
1726627682.301162,808,-0.16588105261325836
1726628089.925188,1014,-0.17397440969944
1726628127.641018,1066,-0.17924658954143524
1726628324.6378179,1333,-0.16836337745189667
1726628327.4920323,1337,-0.20956914126873016
1726628362.7416806,1385,-0.22195088863372803
1726628367.9010692,1392,-0.21198907494544983
1726628400.5195196,1436,-0.19348439574241638
1726628587.6355772,1691,-0.22160880267620087
1726628619.2689545,1734,-0.20142732560634613
1726628621.5091228,1737,-0.21841025352478027
1726628724.083829,1877,-0.19358253479003906
1726628753.0980086,1917,-0.22355113923549652
1726629091.3683655,2036,-0.222895547747612
1726629134.9356377,2096,-0.21037819981575012
1726629209.7692614,2199,-0.22013972699642181
1726629255.993733,2262,-0.21876926720142365
1726629289.2222295,2307,-0.213618665933609
1726629349.8767881,2389,-0.22849808633327484
1726629384.277372,2436,-0.23923078179359436
1726629420.2680752,2485,-0.21466434001922607
1726629421.0011299,2486,-0.23041494190692902
1726629429.597777,2498,-0.22223512828350067
1726629454.340635,2532,-0.2395334094762802
1726629567.448134,2685,-0.2277117222547531
1726629608.2491982,2740,-0.22093980014324188
1726630077.8424299,3038,-0.21980319917201996
1726630218.9830348,3230,-0.25736063718795776
1726630230.7839205,3246,-0.25271284580230713
1726630273.6811442,3305,-0.2450348436832428
1726630502.2653174,3618,-0.262618750333786
1726630503.6754234,3620,-0.2631283104419708
1726630540.104161,3670,-0.26366299390792847
1726630592.0550637,3741,-0.2618483006954193
1726630645.9271123,3814,-0.2131369411945343
1726630650.8764827,3821,-0.2628558576107025
1726630729.2143683,3928,-0.2608949840068817
1726630749.6599052,3956,-0.2553807497024536
1726631059.2582827,4036,-0.268319696187973
1726631175.532018,4196,-0.2702905833721161
1726631263.0485928,4317,-0.29039767384529114
1726631322.7930815,4400,-0.26811307668685913
1726631389.4600904,4492,-0.2870793044567108
1726631401.9120276,4509,-0.26482337713241577
1726631523.578748,4676,-0.2801171839237213
1726631604.8958573,4788,-0.26796045899391174
1726631987.4188945,4971,-0.28359001874923706
1726632085.3758771,5106,-0.2571142315864563
1726632105.545392,5134,-0.2815285325050354
1726632257.7938304,5345,-0.28132757544517517
1726632267.8475857,5359,-0.27833229303359985
1726632405.3619173,5549,-0.28253281116485596
1726632500.0250301,5679,-0.25185486674308777
1726632532.2274492,5723,-0.2890118956565857
1726632593.824077,5808,-0.27988505363464355
1726632634.5061328,5864,-0.27982500195503235
1726632639.6645207,5871,-0.28647923469543457
1726632666.063504,5907,-0.2457558661699295
1726632975.5139873,5990,-0.27729472517967224
1726633127.2493882,6200,-0.28756991028785706
1726633141.0084214,6219,-0.27988144755363464
1726633191.448211,6289,-0.2998654842376709
1726633399.149816,6574,-0.3220074474811554
1726633420.2824042,6603,-0.30402231216430664
1726633490.11465,6699,-0.30657750368118286
1726633498.7422988,6711,-0.309499591588974
1726633603.4011612,6854,-0.27507296204566956
1726633933.3485992,6966,-0.28782030940055847
1726634068.7617738,7155,-0.30685609579086304
1726634232.3900673,7382,-0.3147755265235901
1726634289.5033593,7460,-0.28623390197753906
1726634291.7385254,7463,-0.2974241077899933
1726634326.6121469,7511,-0.317256897687912
1726634527.2972233,7788,-0.31504395604133606
1726634534.4797642,7798,-0.31747373938560486
1726634559.5136435,7833,-0.3266473412513733
1726634922.873825,7991,-0.2887137234210968
1726634978.1619778,8066,-0.2981604039669037
1726635060.8921936,8180,-0.28691548109054565
1726635090.7154353,8221,-0.3013896048069
