Wall time,Step,Value
1728868731.8862393,42,0.758415699005127
1728869252.0048387,167,-0.3908677101135254
1728869512.6326091,229,-0.04365935176610947
1728869534.164118,234,-0.6584223508834839
1728869684.683619,273,-0.16357062757015228
1728870487.3565385,474,-0.4508630037307739
1728870740.2020113,536,0.17778879404067993
1728870903.6718357,579,-0.18857723474502563
1728870930.3126059,586,-0.4416164755821228
1728871119.894397,634,-0.5220033526420593
1728871169.3943691,647,-0.22008757293224335
1728871442.364001,714,-0.20391690731048584
1728871823.553714,808,-0.47031790018081665
1728873607.2973478,1014,-0.3954361379146576
1728874812.8673553,1333,-0.38717833161354065
1728874829.117366,1337,-0.20084364712238312
1728875011.3059742,1385,-0.4200853407382965
1728875036.3053687,1392,-0.30632278323173523
1728875194.9625092,1436,-0.02787373960018158
1728876189.3663113,1691,-0.35791295766830444
1728876353.319793,1734,-0.4072657823562622
1728876364.2105436,1737,-0.351571261882782
1728876899.717033,1877,0.9071304202079773
1728877053.4226604,1917,-0.3862970173358917
1728878485.4157495,2036,-0.45934128761291504
1728879106.5201418,2199,-0.6211261749267578
1728879530.7858899,2307,-0.4722591042518616
1728879852.2579331,2389,-0.10638763010501862
1728880056.420251,2436,-0.12351403385400772
1728880254.5932083,2485,-0.5922287106513977
1728880258.3435159,2486,-0.36312198638916016
1728880306.5798776,2498,-0.4661593437194824
1728881049.1984904,2685,-0.5195621252059937
1728881265.7343059,2740,-0.4164717197418213
1728883397.5262718,3038,0.039410289376974106
1728884124.7967541,3230,-0.470382958650589
1728884186.047241,3246,-0.5941654443740845
1728884419.4252684,3305,-0.4253975749015808
1728885642.7867646,3618,-0.419499009847641
1728885650.740088,3620,-0.5609132647514343
1728885840.0386739,3670,-0.5189672112464905
1728886106.4143448,3741,-0.4645432233810425
1728886389.9153755,3814,-0.5561794638633728
1728886418.5404713,3821,-0.3820782005786896
1728886852.047532,3928,-0.420820951461792
1728886968.3135014,3956,-0.518584132194519
1728888240.8862667,4036,-0.4105696678161621
1728889330.8882773,4317,-0.20672501623630524
1728889646.2172055,4400,-0.43074917793273926
1728889991.626356,4492,-0.23880022764205933
1728890056.1744082,4509,-0.5921584367752075
1728890713.367547,4676,-0.13337482511997223
1728891168.621094,4788,-0.5102044939994812
1728892866.0338292,4971,-0.4979995787143707
1728893414.2098315,5106,-0.4647913873195648
1728893530.4914231,5134,-0.4165481925010681
1728894363.1976054,5345,-0.46142688393592834
1728894418.1658058,5359,-0.4448406398296356
1728895177.0539443,5549,-0.5870898365974426
1728895851.702253,5723,-0.2475958615541458
1728896186.8493655,5808,-0.4512440860271454
1728896401.9465973,5864,-0.003071993589401245
