Wall time,Step,Value
1728868731.8862393,42,-1.3345320224761963
1728869252.0048387,167,-1.2075159549713135
1728869512.6326091,229,-1.1227387189865112
1728869534.164118,234,-1.1406151056289673
1728869684.683619,273,-1.1207886934280396
1728870487.3565385,474,-1.0089632272720337
1728870740.2020113,536,-1.0205706357955933
1728870903.6718357,579,-0.9877497553825378
1728870930.3126059,586,-0.9832814335823059
1728871119.894397,634,-1.0024727582931519
1728871169.3943691,647,-0.9667231440544128
1728871442.364001,714,-1.002163290977478
1728871823.553714,808,-0.9287859797477722
1728873607.2973478,1014,-0.9729508757591248
1728874812.8673553,1333,-0.9115013480186462
1728874829.117366,1337,-0.8918442130088806
1728875011.3059742,1385,-0.9034555554389954
1728875036.3053687,1392,-0.9200718998908997
1728875194.9625092,1436,-0.9391654133796692
1728876189.3663113,1691,-0.8560700416564941
1728876353.319793,1734,-0.8694819808006287
1728876364.2105436,1737,-0.8997158408164978
1728876899.717033,1877,-0.8564769625663757
1728877053.4226604,1917,-0.8519275784492493
1728878485.4157495,2036,-0.8523151278495789
1728879106.5201418,2199,-0.8759075999259949
1728879530.7858899,2307,-0.8716903924942017
1728879852.2579331,2389,-0.8464638590812683
1728880056.420251,2436,-0.8484431505203247
1728880254.5932083,2485,-0.892675518989563
1728880258.3435159,2486,-0.8552469611167908
1728880306.5798776,2498,-0.8467897772789001
1728881049.1984904,2685,-0.8713417053222656
1728881265.7343059,2740,-0.8200827836990356
1728883397.5262718,3038,-0.8268781900405884
1728884124.7967541,3230,-0.8140722513198853
1728884186.047241,3246,-0.8465609550476074
1728884419.4252684,3305,-0.8130737543106079
1728885642.7867646,3618,-0.8004857897758484
1728885650.740088,3620,-0.7906627058982849
1728885840.0386739,3670,-0.8039563298225403
1728886106.4143448,3741,-0.8115399479866028
1728886389.9153755,3814,-0.8309776186943054
1728886418.5404713,3821,-0.8355769515037537
1728886852.047532,3928,-0.8046517372131348
1728886968.3135014,3956,-0.7968014478683472
1728888240.9018924,4036,-0.8097376823425293
1728889330.8882773,4317,-0.8043392300605774
1728889646.2172055,4400,-0.7727851271629333
1728889991.626356,4492,-0.782521665096283
1728890056.1744082,4509,-0.8268416523933411
1728890713.367547,4676,-0.8077691197395325
1728891168.621094,4788,-0.7595962882041931
1728892866.0338292,4971,-0.8031361699104309
1728893414.2098315,5106,-0.7995489835739136
1728893530.4914231,5134,-0.7856720685958862
1728894363.1976054,5345,-0.7635688185691833
1728894418.1658058,5359,-0.7776573300361633
1728895177.0539443,5549,-0.7760136127471924
1728895851.702253,5723,-0.7490265369415283
1728896186.8493655,5808,-0.7650085687637329
1728896401.9465973,5864,-0.7268118262290955
1728896429.5717125,5871,-0.769549548625946
1728896596.1590157,5907,-0.7572418451309204
1728898025.1411016,5990,-0.7875747084617615
1728899136.9790974,6200,-0.7534821629524231
1728899233.2833977,6219,-0.7537807822227478
1728899568.2752104,6289,-0.7676548957824707
1728940178.7611442,6215,-0.7724328637123108
1728940677.0414698,6340,-0.7483593821525574
1728940725.205248,6352,-0.7757326364517212
1728941311.8102067,6495,-0.7522509098052979
1728941766.9296653,6607,-0.7498753070831299
1728942489.657349,6796,-0.755342423915863
1728944420.680673,7023,-0.733335554599762
1728944751.553793,7101,-0.7234930396080017
1728944764.2798753,7104,-0.7203300595283508
1728944972.4688988,7152,-0.7346010208129883
1728946128.5918057,7429,-0.7371373772621155
1728946169.7242384,7439,-0.732285737991333
1728946312.2576966,7474,-0.7507481575012207
1728946973.896179,7632,-0.7626373171806335
1728947279.9521828,7707,-0.7221204042434692
1728947718.0058455,7821,-0.7412933707237244
1728947889.9471037,7862,-0.7320215106010437
1728949467.7312224,8004,-0.7351502180099487
1728949526.9841566,8018,-0.7541051506996155
1728950014.09505,8139,-0.7275465130805969
1728950054.251901,8149,-0.729812741279602
1728950408.2769608,8242,-0.725203275680542
1728951490.0542817,8519,-0.7622222900390625
1728951724.6258667,8576,-0.7337767481803894
1728951946.7447166,8634,-0.7241548895835876
1728953033.0257497,8901,-0.7009839415550232
1728954841.1000555,9109,-0.7321195602416992
1728955181.1100295,9195,-0.7449859380722046
1728955231.8463228,9208,-0.7179304957389832
1728955748.580159,9339,-0.6868988871574402
1728956399.010955,9484,-0.7201341986656189
1728956694.4061503,9548,-0.7028796672821045
1728959637.5144362,9917,-0.7160913944244385
