Wall time,Step,Value
1728868731.6206403,42,2.7918877601623535
1728869251.7079716,167,2.467064142227173
1728869512.413866,229,2.5135498046875
1728869533.8828752,234,2.2952520847320557
1728869684.4492602,273,2.4569251537323
1728870487.1221702,474,2.1231062412261963
1728870739.9207706,536,2.4055399894714355
1728870903.4530983,579,2.4883816242218018
1728870930.0938616,586,2.308431625366211
1728871119.6600296,634,2.518333911895752
1728871169.1756282,647,2.5576045513153076
1728871442.098384,714,2.3435680866241455
1728871823.2724793,808,2.3625664710998535
1728873607.0629828,1014,2.299924373626709
1728874812.5861156,1333,2.3829400539398193
1728874828.898834,1337,2.258251667022705
1728875011.0872326,1385,2.176274061203003
1728875036.0710013,1392,2.1549668312072754
1728875194.7440434,1436,2.231935501098633
1728876189.1319447,1691,2.1956427097320557
1728876353.101051,1734,2.5619585514068604
1728876363.9761994,1737,2.2782065868377686
1728876899.498293,1877,2.577002763748169
1728877053.1570423,1917,2.240041971206665
1728878485.1970088,2036,2.295173168182373
1728879106.3013985,2199,2.6689157485961914
1728879530.567147,2307,2.487276792526245
1728879851.9766924,2389,2.392407178878784
1728880056.1390152,2436,2.5107991695404053
1728880254.3278177,2485,2.2473416328430176
1728880258.1091485,2486,2.7441415786743164
1728880306.329906,2498,2.2505037784576416
1728881048.9172516,2685,2.4990289211273193
1728881265.4530892,2740,1.9562088251113892
1728883397.3075495,3038,2.237884283065796
1728884124.5780127,3230,2.3201546669006348
1728884185.8441222,3246,2.3318111896514893
1728884419.1909046,3305,2.089437961578369
1728885642.5680223,3618,2.235482931137085
1728885650.5213463,3620,2.182737350463867
1728885839.820138,3670,2.284722089767456
1728886106.1331024,3741,2.3975343704223633
1728886389.6966324,3814,2.342902660369873
1728886418.3063066,3821,2.525632619857788
1728886851.8131666,3928,2.3362576961517334
1728886968.0478845,3956,2.3705224990844727
1728888240.6675487,4036,2.3583743572235107
1728889330.6539323,4317,2.4988298416137695
1728889645.9828422,4400,2.150683641433716
1728889991.4079542,4492,2.412411689758301
1728890055.940065,4509,2.1809701919555664
1728890713.1019313,4676,2.3425323963165283
1728891168.3556907,4788,2.259277820587158
1728892865.8154285,4971,2.2203474044799805
1728893413.928593,5106,2.1646387577056885
1728893530.2570548,5134,2.405750036239624
1728894362.978862,5345,2.421940326690674
1728894417.931439,5359,2.33236026763916
1728895176.835201,5549,2.3416550159454346
1728895851.4835107,5723,2.241543769836426
1728896186.6306486,5808,2.461566925048828
1728896401.6809828,5864,2.443915605545044
1728896429.3373466,5871,2.7369236946105957
1728896595.9124415,5907,2.2224161624908447
1728898024.883691,5990,2.098461627960205
1728899136.7025938,6200,2.4511280059814453
1728899233.022113,6219,2.492234945297241
1728899567.9783475,6289,1.9981486797332764
1728940178.5580273,6215,2.112124443054199
1728940676.7602296,6340,2.3754515647888184
1728940724.9865055,6352,2.965117931365967
1728941311.6070876,6495,2.2431640625
1728941766.6954985,6607,2.189486503601074
1728942489.438605,6796,2.3742964267730713
1728944420.4463053,7023,2.1913371086120605
1728944751.2569277,7101,2.329533815383911
1728944764.045511,7104,2.252870559692383
1728944972.1005123,7152,2.277254819869995
1728946128.2636924,7429,2.236967086791992
1728946169.4898727,7439,2.1804425716400146
1728946311.9608314,7474,2.2750658988952637
1728946973.661811,7632,2.4329705238342285
1728947279.67116,7707,2.338242292404175
1728947717.787103,7821,2.2584924697875977
1728947889.6658604,7862,2.155224084854126
1728949467.5126872,8004,2.130295515060425
1728949526.7341683,8018,2.3632712364196777
1728950013.8608916,8139,2.2737085819244385
1728950054.0331578,8149,2.2331228256225586
1728950407.9957411,8242,1.9376496076583862
1728951489.7886703,8519,2.549036979675293
